RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
kuznetsov5500ce,84.66,Evgeny Kuznetsov,5500,C,0,WAS,ANA-J.Gibson,15.04,18.9,11.2,5.13,2.7,3.2,1,1,6,0,-1,86,0,2,4.3,2.4,-337,6.5,92,-225,12.3,0.2,71,22,27,96,8.5,50,50,30,10,0.21,0.64,0.85,18.5,2.76,2.4,3.35,0.72,0.09,0.3,2.7,11.67,12.91,8.83,0.11,0.22,3.29,0.73,0.99,0.74,0.01,0,0.1,0.41,0.72,0.01,2.8,0.3,0.2,0.5,16.65,1.8,1.7,2.4,0.71,0.18,0.3,2,10.2,14.1,0.1,0.1,2.28,0.2,9.5,2,1.83,0.17,2.67,0.33,16.42,2.31,0.17,0,53.12,46.14,52.52,46.15,42.3,3.19,0.23,3.19,0.26,47.4,60.45,50.5,40.55,3,0.2,3.55,0.23,36.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,kuznetsov,evgeny kuznetsov,e,kuznetsov5500ce
point8300cb,84.64,Brayden Point,8300,C,0,TB,BUF-E.Comrie,16.91,21.2,12.6,1.26,2,41.3,1,1,10,0,-3.5,21,0,2,4.3,2.9,-225,7,81,-245,14.8,0.1,61,29,30,103,16.9,72,27,36,11,0.47,0.47,0.94,19.43,2.9,2.75,3.7,0.74,0.17,0.47,3.22,14.21,13.48,10.65,0.21,0.18,3.86,0.88,1.12,0.79,0,0,0.26,0.29,0.25,0,2.8,0.55,0.55,1.09,19.12,3.42,3,4.18,0.72,0.18,0.64,3.64,16.18,15.45,0.27,0.09,3.68,1.09,17.17,3,2.5,0.5,3.83,1.17,19.09,3.42,0.33,0,46.88,44.96,41.98,43.76,44.88,3.44,0.27,2.73,0.26,52,41.9,45.27,45.2,3.55,0.21,2.3,0.35,47,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,point,brayden point,b,point8300cb
kopitar6900ca,84.52,Anze Kopitar,6900,C,0,LA,NJD-V.Vanecek,11.87,14.9,8.8,-0.91,1.7,23.2,1,1,10,0,0.7,71,1,2,3.1,3.6,120,6.5,26,112,13,1.3,61,35,37,95,21.7,88,11,77,9,0.26,0.52,0.78,20.44,2.29,2.31,3.1,0.75,0.11,1.14,3.45,14.7,13.57,10.94,0.07,0.17,3.17,0.56,0.73,0.76,0,0.01,0.19,0.34,0.1,0.01,2.56,0.78,0.78,1.56,19.97,4.69,2.44,3.22,0.76,0.32,1.22,3.67,13.44,12.44,0.33,0.22,2.83,0.44,15,3.2,2,1.2,2.8,0.2,19.6,3.19,0.2,0.4,48.83,48.16,44.99,44.3,49.33,3.22,0.23,2.93,0.2,47.11,50.55,45.22,51.82,3.11,0.36,2.91,0.19,53.86,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,kopitar,anze kopitar,a,kopitar6900ca
miller7100cj,83.75,J.T. Miller,7100,C,0,VAN,STL-J.Binnington,15.85,19.9,11.8,2.66,2.2,30,2,1,12,0,-2.1,65,0,2,3.2,3.4,105,6.5,39,104,16.5,2.2,77,37,18,87,15.7,81,18,27,11,0.38,0.76,1.14,20.73,3.3,2.75,3.85,0.71,0.14,0.67,3.41,13.94,12.83,10.37,0.14,0.31,3.62,0.83,1.2,0.69,0,0.03,0.24,0.41,0.6,0.02,2.75,0.09,0.91,1,19.85,3.02,3.27,4.18,0.78,0.03,1,4.27,14.45,11.27,0.09,0.27,4.01,0.91,14.43,4.43,3.14,1.29,4.29,1.14,20.35,3.87,0.14,0.14,46.47,43.3,47.9,46.22,40.68,3.17,0.27,2.48,0.23,44.82,47.3,40.82,42.9,3.18,0.23,2.7,0.22,44.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,miller,j.t. miller,j,miller7100cj
thomas5600cr,83.73,Robert Thomas,5600,C,0,STL,VAN-A.Silovs,14.01,17.6,10.4,3.9,2.5,4.8,1,1,4,0,4.4,71,0,2,3.4,3.2,-120,6.5,61,-125,11.7,1.4,57,31,38,96,6.8,33,55,33,9,0.29,0.65,0.95,19,3,1.48,2.15,0.69,0.2,0.44,1.93,12.13,13.62,9.32,0.06,0.18,2.69,0.35,0.47,0.74,0.01,0,0.22,0.47,0.32,0.02,1.79,0.13,0.5,0.63,19.03,1.99,0.75,1.5,0.5,0.17,0,0.75,12.88,14,0,0.25,3.55,0.25,13.67,0.67,0.67,0,1.33,0.5,20.53,4.05,0,0.33,43.16,40.68,46.22,47.9,43.3,2.96,0.26,2.86,0.3,42.9,40.82,47.3,44.82,3.1,0.13,3.09,0.32,43.14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,thomas,robert thomas,r,thomas5600cr
eriksson7300cj,83.56,Joel Eriksson Ek,7300,C,0,MIN,CLB-J.Korpisalo,14.45,18.1,10.8,0.85,2,6.4,2,1,16,0,-0.7,34,1,2,3.3,2.4,-192,5.5,69,-196,13.6,2.2,70,33,29,96,15.5,75,25,41,12,0.35,0.4,0.75,18.98,2.37,3.03,4.18,0.72,0.12,0.64,3.67,11.76,10.87,8.79,0.13,0.15,3.39,0.83,1.16,0.72,0.02,0.01,0.2,0.24,0.49,0.02,2.98,0.42,0.33,0.75,18.34,2.45,3.67,5.08,0.72,0.11,0.92,4.58,11.5,10.5,0.33,0.25,3.75,1.17,11.63,4.88,3.75,1.13,5,1.13,18.19,3.54,0.38,0.25,50.67,44.42,50.55,42.37,43.13,3.24,0.23,3.02,0.24,48.92,54.82,46.83,46.91,3.33,0.23,2.36,0.23,48.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,eriksson,joel eriksson ek,j,eriksson7300cj
couture6700cl,83.15,Logan Couture,6700,C,0,SJ,NAS-J.Saros,14.94,18.7,11.2,2.57,2.2,0,1,1,8,0,-1.2,42,0,3,3.3,3.4,-100,6.5,51,112,12.6,1.1,71,26,27,88,17.2,80,20,20,10,0.29,0.46,0.75,18.72,2.4,2.43,3.3,0.74,0.12,0.87,3.29,11.22,12.83,8.37,0.06,0.2,2.7,0.6,0.89,0.67,0.01,0,0.22,0.26,0.21,0.04,2.96,0.4,0.8,1.2,18.35,3.92,2.7,3.7,0.73,0.15,1,3.7,15.4,11.9,0,0.1,2.02,0.6,16.5,3.67,2.67,1,4.17,1,18.85,2.33,0,0,46.45,43.78,47.27,48.07,44.94,2.64,0.2,3.34,0.23,49.4,43.33,51.5,48.78,2.1,0.14,2.56,0.22,46.33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,couture,logan couture,l,couture6700cl
bergeron7000cp,82.91,Patrice Bergeron,7000,C,0,BOS,SEA-P.Grubauer,13.53,17,10.1,0.55,1.9,31.6,1,1,8,0,-1.3,94,0,3,3.5,2.6,-188,6,87,-182,15.4,1.4,70,33,21,96,9.4,40,60,30,10,0.39,0.46,0.84,17.86,2.82,3.7,4.82,0.77,0.11,0.71,4.41,14.57,9.09,11.34,0.12,0.12,3.31,0.81,1.15,0.7,0,0.01,0.27,0.32,0.31,0.02,2.59,0.3,0.1,0.4,17.64,1.36,2.5,3.5,0.71,0.12,0.6,3.1,12.2,10.9,0.1,0,3.27,0.6,12,3.4,2.4,1,3.2,0.8,17.15,3.37,0.2,0,44.42,46.31,43,41.37,46.07,3.3,0.22,3.06,0.27,43.5,43.09,47.4,50.09,3.4,0.09,2.55,0.18,48.71,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,bergeron,patrice bergeron,p,bergeron7000cp
strome4900cd,82.66,Dylan Strome,4900,C,0,WAS,ANA-J.Gibson,10.82,13.7,8,2.14,2.2,4.8,2,2,6,0,1.2,76,0,2,4.3,2.4,-337,6.5,92,-225,10.9,1,56,31,42,89,6.6,30,70,10,10,0.28,0.44,0.73,17.91,2.45,1.84,2.55,0.72,0.15,0.53,2.37,13.84,13.61,10.2,0.03,0.19,3.38,0.35,0.52,0.67,0,0,0.25,0.25,0.3,0,2.44,0.1,0.1,0.2,16.15,0.74,2.1,2.8,0.75,0.05,0.8,2.9,13.2,12.6,0,0,2.25,0.1,14.33,3,2.33,0.67,3.17,0.33,16.25,2.56,0,0,53.12,46.14,52.52,46.15,42.3,3.19,0.23,3.19,0.26,47.4,60.45,50.5,40.55,3,0.2,3.55,0.23,36.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,strome,dylan strome,d,strome4900cd
cirelli5100ca,81.79,Anthony Cirelli,5100,C,0,TB,BUF-E.Comrie,9.15,11.6,6.7,0.06,1.8,15.2,2,0,1,0,4.7,86,0,2,4.3,2.9,-225,7,81,-245,8.8,-0.3,43,18,33,103,11.4,72,27,36,11,0.16,0.31,0.47,17.34,1.63,1.94,2.86,0.68,0.08,0.91,2.85,13.56,13.11,9.99,0.01,0.06,0.64,0.06,0.13,0.45,0.02,0,0.13,0.25,0.75,0,2.22,0.36,0.27,0.64,17.29,2.22,2.27,2.91,0.78,0.16,0.73,3,14.18,13.36,0,0.09,0.6,0.09,13.67,3,2.5,0.5,3,0.33,17.25,0.51,0,0.17,46.88,44.96,41.98,43.76,44.88,3.44,0.27,2.73,0.26,52,41.9,45.27,45.2,3.55,0.21,2.3,0.35,47,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,cirelli,anthony cirelli,a,cirelli5100ca
stephenson5700cc,80.58,C. Stephenson,5700,C,0,VGK,CGY-D.Vladar,11.46,14.5,8.5,1.14,2,9.6,3,1,5,0,-1.5,16,0,2,3.5,3.1,-135,6.5,70,-170,11.2,1,62,29,37,89,9.9,66,33,11,9,0.23,0.59,0.82,19.45,2.53,1.58,2.18,0.73,0.14,0.6,2.18,14.89,14.31,10.87,0.11,0.1,2.45,0.46,0.62,0.74,0.01,0.02,0.1,0.47,0.27,0,1.81,0.11,0.56,0.67,18.28,2.2,1.89,2.22,0.85,0.06,0.67,2.56,11.67,15,0,0,2.91,0.78,10.4,2.8,2,0.8,2.2,0.8,17.62,2.67,0,0,43.05,50.19,39.49,47.79,52.58,2.59,0.21,3.42,0.2,49.33,34.82,50.89,60.45,2.44,0,3.18,0.26,61.43,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,stephenson,c. stephenson,c,stephenson5700cc
